BODY ORDERED NET LIST - 1  
CN1              CAPN4I-100NF,16V,X7R,CKCA43 1        UNNAMED_1_CAPN4I_I10_A_13
                                  10       UNNAMED_1_CAPN4I_I10_A_14
D6               TVS_DIODE_ARRAY_SP3010_UDFN-SPA 1        UNNAMED_1_CAPN4I_I10_A_12
                                  2        UNNAMED_1_CAPN4I_I10_A_1_12
                                  3        GND_SIGNAL              
                                  4        UNNAMED_1_CAPN4I_I10_A_2_12
                                  5        UNNAMED_1_CAPN4I_I10_A_3_12
                                  6        UNNAMED_1_CAPN4I_I10_A_3_12
                                  7        UNNAMED_1_CAPN4I_I10_A_2_12
                                  8        GND_SIGNAL              
                                  9        UNNAMED_1_CAPN4I_I10_A_1_12
                                  10       UNNAMED_1_CAPN4I_I10_A_12
D7               TVS_DIODE_ARRAY_SP3010_UDFN-SPA 1        UNNAMED_1_CAPN4I_I10_A_15
                                  2        UNNAMED_1_CAPN4I_I10_A_1_15
                                  3        GND_SIGNAL              
                                  4        UNNAMED_1_CAPN4I_I10_A_2_15
                                  5        UNNAMED_1_CAPN4I_I10_A_3_15
                                  6        UNNAMED_1_CAPN4I_I10_A_3_15
                                  7        UNNAMED_1_CAPN4I_I10_A_2_15
                                  8        GND_SIGNAL              
                                  9        UNNAMED_1_CAPN4I_I10_A_1_15
                                  10       UNNAMED_1_CAPN4I_I10_A_15
D8               TVS_DIODE_ARRAY_SP3010_UDFN-SPA 1        UNNAMED_1_CAPN4I_I10_A_9
                                  2        UNNAMED_1_CAPN4I_I10_A_1_9
                                  3        GND_SIGNAL              
                                  4        UNNAMED_1_CAPN4I_I10_A_2_9
                                  5        UNNAMED_1_CAPN4I_I10_A_3_9
                                  6        UNNAMED_1_CAPN4I_I10_A_3_9
                                  7        UNNAMED_1_CAPN4I_I10_A_2_9
                                  8        GND_SIGNAL              
                                  9        UNNAMED_1_CAPN4I_I10_A_1_9
                                  10       UNNAMED_1_CAPN4I_I10_A_9
D9               TVS_DIODE_ARRAY_SP3010_UDFN-SPA 1        UNNAMED_1_CAPN4I_I10_A_1
                                  2        UNNAMED_1_CAPN4I_I10_A_1_1
                                  3        GND_SIGNAL              
                                  4        UNNAMED_1_CAPN4I_I10_A_2_1
                                  5        UNNAMED_1_CAPN4I_I10_A_3_1
                                  6        UNNAMED_1_CAPN4I_I10_A_3_1
                                  7        UNNAMED_1_CAPN4I_I10_A_2_1
                                  8        GND_SIGNAL              
                                  9        UNNAMED_1_CAPN4I_I10_A_1_1
                                  10       UNNAMED_1_CAPN4I_I10_A_1
D10              TVS_DIODE_ARRAY_SP3010_UDFN-SPA 1        UNNAMED_1_CAPN4I_I10_A_7
                                  2        UNNAMED_1_CAPN4I_I10_A_1_7
                                  3        GND_SIGNAL              
                                  4        UNNAMED_1_CAPN4I_I10_A_2_7
                                  5        UNNAMED_1_CAPN4I_I10_A_3_7
                                  6        UNNAMED_1_CAPN4I_I10_A_3_7
                                  7        UNNAMED_1_CAPN4I_I10_A_2_7
                                  8        GND_SIGNAL              
                                  9        UNNAMED_1_CAPN4I_I10_A_1_7
                                  10       UNNAMED_1_CAPN4I_I10_A_7
D11              TVS_DIODE_ARRAY_SP3010_UDFN-SPA 1        UNNAMED_1_CAPN4I_I10_A_3
                                  2        UNNAMED_1_CAPN4I_I10_A_1_3
                                  3        GND_SIGNAL              
                                  4        UNNAMED_1_CAPN4I_I10_A_2_3
                                  5        UNNAMED_1_CAPN4I_I10_A_3_3
                                  6        UNNAMED_1_CAPN4I_I10_A_3_3
                                  7        UNNAMED_1_CAPN4I_I10_A_2_3
                                  8        GND_SIGNAL              
                                  9        UNNAMED_1_CAPN4I_I10_A_1_3
                                  10       UNNAMED_1_CAPN4I_I10_A_3
D12              TVS_DIODE_ARRAY_SP3010_UDFN-SPA 1        UNNAMED_1_CAPN4I_I10_A_6
                                  2        UNNAMED_1_CAPN4I_I10_A_1_6
                                  3        GND_SIGNAL              
                                  4        UNNAMED_1_CAPN4I_I10_A_2_6
                                  5        UNNAMED_1_CAPN4I_I10_A_3_6
                                  6        UNNAMED_1_CAPN4I_I10_A_3_6
                                  7        UNNAMED_1_CAPN4I_I10_A_2_6
                                  8        GND_SIGNAL              
                                  9        UNNAMED_1_CAPN4I_I10_A_1_6
                                  10       UNNAMED_1_CAPN4I_I10_A_6
D13              TVS_DIODE_ARRAY_SP3010_UDFN-SPA 1        UNNAMED_1_CAPN4I_I10_A_2
                                  2        UNNAMED_1_CAPN4I_I10_A_1_2
                                  3        GND_SIGNAL              
                                  4        UNNAMED_1_CAPN4I_I10_A_2_2
                                  5        UNNAMED_1_CAPN4I_I10_A_3_2
                                  6        UNNAMED_1_CAPN4I_I10_A_3_2
                                  7        UNNAMED_1_CAPN4I_I10_A_2_2
                                  8        GND_SIGNAL              
                                  9        UNNAMED_1_CAPN4I_I10_A_1_2
                                  10       UNNAMED_1_CAPN4I_I10_A_2
D14              TVS_DIODE_ARRAY_SP3010_UDFN-SPA 1        UNNAMED_1_CAPN4I_I10_A_8
                                  2        UNNAMED_1_CAPN4I_I10_A_1_8
