A!REFDES!COMP_REUSE_ID!COMP_SIGNAL_MODEL!COMP_NO_XNET_CONNECTION!COMP_PARENT_PPT!COMP_SYMBOL_EDITED!COMP_PARENT_PPT_PART!COMP_EMBEDDED_PLACEMENT!
J!/projects/HEP_Instrumentation/cad/designs/uob-hep-pc049a/trunk/design_files/worklib/pc049a_toplevel/physical/02_09_2014_pc049a_toplevel_36_a16-5.brd!Fri Oct  3 09:30:51 2014!-300.0000!-200.0000!500.0000!350.0000!0.0001!millimeters!PC049A_TOPLEVEL!62.755906 mil!10!UP TO DATE!
S!LD7!!!!LED!!LED-HSMG-C150!!
S!LD6!!!!LED!!LED-HSMG-C150!!
S!LD4!!!!LED!!LED-HSMG-C150!!
S!LD3!!!!LED!!LED-HSMY-C150!!
S!RN1!!!!R4ISMD!!R4ISMD_1206-150!!
S!RN2!!!!R4ISMD!!R4ISMD_1206-150!!
S!RZ1!!!!R4ISMD!!R4ISMD_1206-150!!
S!RZ2!!!!R4ISMD!!R4ISMD_1206-4.7K!!
S!R63!!!!RSMD0603!!RSMD0603_1/10W-2.4K,1%!!
S!R61!!!!RSMD0603!!RSMD0603_1/10W-330,1%!!
S!R48!!!!RSMD0603!!RSMD0603_1/10W-4.7K,1%!!
S!R67!!!!RSMD0603!!RSMD0603_1/10W-4.7K,1%!!
S!R7!!!!RSMD0603!!RSMD0603_1/10W-4.7K,1%!!
S!R56!!!!RSMD0603!!RSMD0603_1/10W-4.7K,1%!!
S!R57!!!!RSMD0603!!RSMD0603_1/10W-4.7K,1%!!
S!R58!!!!RSMD0603!!RSMD0603_1/10W-4.7K,1%!!
S!R59!!!!RSMD0603!!RSMD0603_1/10W-4.7K,1%!!
S!R60!!!!RSMD0603!!RSMD0603_1/10W-4.7K,1%!!
S!R62!!!!RSMD0603!!RSMD0603_1/10W-4.7K,1%!!
S!IC16!!!!74LVC1G06!!SN74LVC1G06DBVT!!
S!SW3!!!!SW4INT!!SW4INT-1571983-4!!
S!SW1!!!!SW_PUSHBUTTON_1SPSTA_4P!!SW_PUSHBUTTON_1SPSTA_4P_1-OMRON_B3SN-3012!!
S!SW2!!!!SW_PUSHBUTTON_1SPSTA_4P!!SW_PUSHBUTTON_1SPSTA_4P_1-OMRON_B3SN-3012!!
S!SW4!!!!SW_PUSHBUTTON_1SPSTA_4P!!SW_PUSHBUTTON_1SPSTA_4P_1-OMRON_B3SN-3012!!
S!R53!!!!RSMD0603!!RSMD0603_1/10W-51,1%!!
S!IC15!!!!24AA64!!24AA64T-I/MC!!
S!J10!!!!CON12P!!CON12P-TSM-106-01-S-DV!!
S!LD2!!!!LED!!LED-HSMH-C150!!
S!LD5!!!!LED!!LED-HSMH-C150!!
S!LD1!!!!LED!!LED-HSMH-C150!!
S!R70!!!!RSMD0603!!RSMD0603_1/10W-150,1%!!
S!R52!!!!RSMD0603!!RSMD0603_1/10W-150,1%!!
S!R50!!!!RSMD0603!!RSMD0603_1/10W-180,1%!!
S!C34!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-XX,50V!!
S!C88!!!!CAPCERSMDCL2!!CAPCERSMDCL2_0603-XX,50V!!
S!J1!!!!CON150P!!CON150P-QTS75_03FDA!!
S!R44!!!!RSMD0603!!RSMD0603_1/10W-11K,1%!!
S!R51!!!!RSMD0603!!RSMD0603_1/10W-120,1%!!
S!R46!!!!RSMD0603!!RSMD0603_1/10W-120,1%!!
S!R47!!!!RSMD0603!!RSMD0603_1/10W-120,1%!!
S!U2!!!!AD8031!!AD8031_SOT23-5-AD!!
S!R32!!!!RSMD0603!!RSMD0603_1/16W-1.2K,1%!!
S!R34!!!!RSMD0603!!RSMD0603_1/16W-1.2K,1%!!
S!R26!!!!RSMD0603!!RSMD0603_1/16W-1.2K,1%!!
S!R28!!!!RSMD0603!!RSMD0603_1/16W-1.2K,1%!!
S!R30!!!!RSMD0603!!RSMD0603_1/16W-1.2K,1%!!
S!R33!!!!RSMD0603!!RSMD0603_1/16W-2.4K,1%!!
S!R35!!!!RSMD0603!!RSMD0603_1/16W-2.4K,1%!!
S!R3!!!!RSMD0603!!RSMD0603_1/16W-2.4K,1%!!
S!R25!!!!RSMD0603!!RSMD0603_1/16W-2.4K,1%!!
S!R27!!!!RSMD0603!!RSMD0603_1/16W-2.4K,1%!!
S!R29!!!!RSMD0603!!RSMD0603_1/16W-2.4K,1%!!
S!R31!!!!RSMD0603!!RSMD0603_1/16W-2.4K,1%!!
S!QZ1!!!!OSC_8P_OE_CLKP_CLKN_SDA_SCL!!570CAC000121DG!!
S!IC1!!!!AD5662!!AD5662BRMZ-1!!
S!IC9!!!!AD5662!!AD5662BRMZ-1!!
S!J8!!!!CON14P!!CON14P-MOLEX_87831!!
S!L5!!!!FERRITE!!FERRITE_SMD-220Z,ILBB_0603!!
